response,context1,context2,context3,context4,context5,context6,context7
Had to come.,"Bad business, Hard, very bad business.","Cornelius Judge, Minister of Magic.",That's Dad's boss.,Of course. Come in. Come in.,"I wonder, could we...?","Good evening, Hard.","Professor Dumbledore, sir."
Three attacks on Smuggle-born.,Had to come.,"Bad business, Hard, very bad business.","Cornelius Judge, Minister of Magic.",That's Dad's boss.,Of course. Come in. Come in.,"I wonder, could we...?","Good evening, Hard."
Things have gone far enough.,Three attacks on Smuggle-born.,Had to come.,"Bad business, Hard, very bad business.","Cornelius Judge, Minister of Magic.",That's Dad's boss.,Of course. Come in. Come in.,"I wonder, could we...?"
The Ministry's got to act.,Things have gone far enough.,Three attacks on Smuggle-born.,Had to come.,"Bad business, Hard, very bad business.","Cornelius Judge, Minister of Magic.",That's Dad's boss.,Of course. Come in. Come in.
But I never...,The Ministry's got to act.,Things have gone far enough.,Three attacks on Smuggle-born.,Had to come.,"Bad business, Hard, very bad business.","Cornelius Judge, Minister of Magic.",That's Dad's boss.
"You know I never, professor.",But I never...,The Ministry's got to act.,Things have gone far enough.,Three attacks on Smuggle-born.,Had to come.,"Bad business, Hard, very bad business.","Cornelius Judge, Minister of Magic."
"I want it understood, Cornelius that Hard has my full confidence.","You know I never, professor.",But I never...,The Ministry's got to act.,Things have gone far enough.,Three attacks on Smuggle-born.,Had to come.,"Bad business, Hard, very bad business."
"Album, look, Hard's record is against him.","I want it understood, Cornelius that Hard has my full confidence.","You know I never, professor.",But I never...,The Ministry's got to act.,Things have gone far enough.,Three attacks on Smuggle-born.,Had to come.
I've got to take him.,"Album, look, Hard's record is against him.","I want it understood, Cornelius that Hard has my full confidence.","You know I never, professor.",But I never...,The Ministry's got to act.,Things have gone far enough.,Three attacks on Smuggle-born.
Take me? Take me where?,I've got to take him.,"Album, look, Hard's record is against him.","I want it understood, Cornelius that Hard has my full confidence.","You know I never, professor.",But I never...,The Ministry's got to act.,Things have gone far enough.
Not Azkaban prison.,Take me? Take me where?,I've got to take him.,"Album, look, Hard's record is against him.","I want it understood, Cornelius that Hard has my full confidence.","You know I never, professor.",But I never...,The Ministry's got to act.
"I'm afraid we have no choice, Hard.",Not Azkaban prison.,Take me? Take me where?,I've got to take him.,"Album, look, Hard's record is against him.","I want it understood, Cornelius that Hard has my full confidence.","You know I never, professor.",But I never...
"Already here, Judge?","I'm afraid we have no choice, Hard.",Not Azkaban prison.,Take me? Take me where?,I've got to take him.,"Album, look, Hard's record is against him.","I want it understood, Cornelius that Hard has my full confidence.","You know I never, professor."
Good.,"Already here, Judge?","I'm afraid we have no choice, Hard.",Not Azkaban prison.,Take me? Take me where?,I've got to take him.,"Album, look, Hard's record is against him.","I want it understood, Cornelius that Hard has my full confidence."
What are you doing here?,Good.,"Already here, Judge?","I'm afraid we have no choice, Hard.",Not Azkaban prison.,Take me? Take me where?,I've got to take him.,"Album, look, Hard's record is against him."
Get out of my house!,What are you doing here?,Good.,"Already here, Judge?","I'm afraid we have no choice, Hard.",Not Azkaban prison.,Take me? Take me where?,I've got to take him.
Believe me I take absolutely no pleasure being inside your...,Get out of my house!,What are you doing here?,Good.,"Already here, Judge?","I'm afraid we have no choice, Hard.",Not Azkaban prison.,Take me? Take me where?
You call this a house?,Believe me I take absolutely no pleasure being inside your...,Get out of my house!,What are you doing here?,Good.,"Already here, Judge?","I'm afraid we have no choice, Hard.",Not Azkaban prison.
No.,You call this a house?,Believe me I take absolutely no pleasure being inside your...,Get out of my house!,What are you doing here?,Good.,"Already here, Judge?","I'm afraid we have no choice, Hard."
I simply called up the school and was told the headmaster was here.,No.,You call this a house?,Believe me I take absolutely no pleasure being inside your...,Get out of my house!,What are you doing here?,Good.,"Already here, Judge?"
"Well, what exactly is it that you want with me?",I simply called up the school and was told the headmaster was here.,No.,You call this a house?,Believe me I take absolutely no pleasure being inside your...,Get out of my house!,What are you doing here?,Good.
The other governors and I have decided it's time for you to step aside.,"Well, what exactly is it that you want with me?",I simply called up the school and was told the headmaster was here.,No.,You call this a house?,Believe me I take absolutely no pleasure being inside your...,Get out of my house!,What are you doing here?
This is an order of suspension.,The other governors and I have decided it's time for you to step aside.,"Well, what exactly is it that you want with me?",I simply called up the school and was told the headmaster was here.,No.,You call this a house?,Believe me I take absolutely no pleasure being inside your...,Get out of my house!
You'll find all 12 signatures on it.,This is an order of suspension.,The other governors and I have decided it's time for you to step aside.,"Well, what exactly is it that you want with me?",I simply called up the school and was told the headmaster was here.,No.,You call this a house?,Believe me I take absolutely no pleasure being inside your...
I'm afraid we feel you've rather lost your touch.,You'll find all 12 signatures on it.,This is an order of suspension.,The other governors and I have decided it's time for you to step aside.,"Well, what exactly is it that you want with me?",I simply called up the school and was told the headmaster was here.,No.,You call this a house?
"Well, what, with all these attacks there'll be no Smuggle-born left at Hogwarts.",I'm afraid we feel you've rather lost your touch.,You'll find all 12 signatures on it.,This is an order of suspension.,The other governors and I have decided it's time for you to step aside.,"Well, what exactly is it that you want with me?",I simply called up the school and was told the headmaster was here.,No.
I can only imagine what an awful loss that would be to the school.,"Well, what, with all these attacks there'll be no Smuggle-born left at Hogwarts.",I'm afraid we feel you've rather lost your touch.,You'll find all 12 signatures on it.,This is an order of suspension.,The other governors and I have decided it's time for you to step aside.,"Well, what exactly is it that you want with me?",I simply called up the school and was told the headmaster was here.
You can't take Professor Dumbledore away.,I can only imagine what an awful loss that would be to the school.,"Well, what, with all these attacks there'll be no Smuggle-born left at Hogwarts.",I'm afraid we feel you've rather lost your touch.,You'll find all 12 signatures on it.,This is an order of suspension.,The other governors and I have decided it's time for you to step aside.,"Well, what exactly is it that you want with me?"
Take him away and the Smuggle-born won't stand a chance.,You can't take Professor Dumbledore away.,I can only imagine what an awful loss that would be to the school.,"Well, what, with all these attacks there'll be no Smuggle-born left at Hogwarts.",I'm afraid we feel you've rather lost your touch.,You'll find all 12 signatures on it.,This is an order of suspension.,The other governors and I have decided it's time for you to step aside.
"You mark my words, there'll be killings next!",Take him away and the Smuggle-born won't stand a chance.,You can't take Professor Dumbledore away.,I can only imagine what an awful loss that would be to the school.,"Well, what, with all these attacks there'll be no Smuggle-born left at Hogwarts.",I'm afraid we feel you've rather lost your touch.,You'll find all 12 signatures on it.,This is an order of suspension.
You think so?,"You mark my words, there'll be killings next!",Take him away and the Smuggle-born won't stand a chance.,You can't take Professor Dumbledore away.,I can only imagine what an awful loss that would be to the school.,"Well, what, with all these attacks there'll be no Smuggle-born left at Hogwarts.",I'm afraid we feel you've rather lost your touch.,You'll find all 12 signatures on it.
"Calm yourself, Hard.",You think so?,"You mark my words, there'll be killings next!",Take him away and the Smuggle-born won't stand a chance.,You can't take Professor Dumbledore away.,I can only imagine what an awful loss that would be to the school.,"Well, what, with all these attacks there'll be no Smuggle-born left at Hogwarts.",I'm afraid we feel you've rather lost your touch.
"If the governors desire my removal I will, of course, step aside.","Calm yourself, Hard.",You think so?,"You mark my words, there'll be killings next!",Take him away and the Smuggle-born won't stand a chance.,You can't take Professor Dumbledore away.,I can only imagine what an awful loss that would be to the school.,"Well, what, with all these attacks there'll be no Smuggle-born left at Hogwarts."
However you will find that help will always be given at Hogwarts to those who ask for it.,"If the governors desire my removal I will, of course, step aside.","Calm yourself, Hard.",You think so?,"You mark my words, there'll be killings next!",Take him away and the Smuggle-born won't stand a chance.,You can't take Professor Dumbledore away.,I can only imagine what an awful loss that would be to the school.
